argv[0]=
argv[0]=
pybullet build time: Nov 28 2023 23:52:03
SPS: 737
global_step=461000, episodic_return=820.35498046875
global_step=462000, episodic_return=840.0170288085938
SPS: 738
global_step=463000, episodic_return=841.2964477539062
global_step=464000, episodic_return=839.3405151367188
SPS: 739
global_step=465000, episodic_return=893.8765258789062
global_step=466000, episodic_return=863.5145874023438
SPS: 739
global_step=467000, episodic_return=873.8795166015625
global_step=468000, episodic_return=839.8694458007812
SPS: 740
global_step=469000, episodic_return=898.2451782226562
global_step=470000, episodic_return=890.7907104492188
global_step=471000, episodic_return=895.8812255859375
SPS: 741
global_step=472000, episodic_return=945.2523803710938
global_step=473000, episodic_return=944.552734375
SPS: 742
global_step=474000, episodic_return=976.9811401367188
global_step=475000, episodic_return=892.1693115234375
SPS: 742
global_step=476000, episodic_return=889.8763427734375
global_step=477000, episodic_return=964.7792358398438
SPS: 743
global_step=478000, episodic_return=888.8758544921875
global_step=479000, episodic_return=967.3721313476562
SPS: 744
global_step=480000, episodic_return=973.7174072265625
global_step=481000, episodic_return=964.5811157226562
SPS: 745
global_step=482000, episodic_return=1003.0713500976562
global_step=483000, episodic_return=998.095947265625
SPS: 745
global_step=484000, episodic_return=898.2296142578125
global_step=485000, episodic_return=979.14208984375
SPS: 746
global_step=486000, episodic_return=992.2383422851562
global_step=487000, episodic_return=940.1809692382812
SPS: 747
global_step=488000, episodic_return=1044.0277099609375
global_step=489000, episodic_return=1034.992919921875
SPS: 747
global_step=490000, episodic_return=1044.3126220703125
global_step=491000, episodic_return=1027.900634765625
SPS: 748
global_step=492000, episodic_return=1030.1195068359375
global_step=493000, episodic_return=914.2181396484375
SPS: 749
global_step=494000, episodic_return=1046.801513671875
global_step=495000, episodic_return=1001.2987060546875
SPS: 750
global_step=496000, episodic_return=1097.6690673828125
global_step=497000, episodic_return=1024.2442626953125
SPS: 750
global_step=498000, episodic_return=1077.8135986328125
global_step=499000, episodic_return=1073.631103515625
SPS: 751
global_step=500000, episodic_return=1007.2711791992188
global_step=501000, episodic_return=1037.2113037109375
SPS: 752
global_step=502000, episodic_return=1092.186279296875
global_step=503000, episodic_return=1086.3857421875
SPS: 752
global_step=504000, episodic_return=1026.9635009765625
global_step=505000, episodic_return=1088.02294921875
SPS: 753
global_step=506000, episodic_return=1048.9017333984375
global_step=507000, episodic_return=1065.2486572265625
SPS: 753
global_step=508000, episodic_return=1097.0235595703125
global_step=509000, episodic_return=1049.9951171875
SPS: 754
global_step=510000, episodic_return=1065.2886962890625
global_step=511000, episodic_return=1037.8284912109375
global_step=512000, episodic_return=1022.985595703125
SPS: 755
global_step=513000, episodic_return=1018.3477172851562
global_step=514000, episodic_return=1126.5069580078125
SPS: 740
